,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
246,lucea,20,JM,2020-03-21 17:53:16,62,18.45,-78.17,86.0,23.04
247,sayyan,1,YE,2020-03-21 17:53:16,57,15.17,44.32,63.82,6.93
248,san jeronimo,72,PE,2020-03-21 17:53:17,60,-11.95,-75.28,53.56,4.18
249,kapatagan,92,PH,2020-03-21 17:53:17,96,7.9,123.77,69.76,1.5
250,padang,94,ID,2020-03-21 17:53:17,91,-0.95,100.35,68.14,4.25
251,marsa matruh,3,EG,2020-03-21 17:53:17,58,31.35,27.25,59.0,5.82
252,bengkulu,87,ID,2020-03-21 17:53:17,85,-3.8,102.27,74.62,3.2
253,nome,90,US,2020-03-21 17:53:17,92,64.5,-165.41,19.4,10.29
254,coquimbo,90,CL,2020-03-21 17:53:17,68,-29.95,-71.34,66.2,4.7
255,guerrero negro,0,MX,2020-03-21 17:53:17,49,27.98,-114.06,65.26,14.0
256,tezu,86,IN,2020-03-21 17:53:17,48,27.92,96.17,64.54,3.71
257,bongandanga,100,CD,2020-03-21 17:53:17,98,1.5,21.05,69.04,5.12
258,ust-kut,96,RU,2020-03-21 17:53:17,95,56.79,105.77,26.74,7.31
259,pitimbu,20,BR,2020-03-21 17:53:17,62,-7.47,-34.81,89.6,9.17
260,arraial do cabo,75,BR,2020-03-21 17:53:18,83,-22.97,-42.03,80.6,11.41
261,rawson,100,AR,2020-03-21 17:53:18,58,-43.3,-65.1,69.04,1.39
262,souillac,40,MU,2020-03-21 17:53:18,74,-20.52,57.52,78.8,8.05
263,kamachumu,20,TZ,2020-03-21 17:53:18,83,-1.62,31.62,73.4,1.05
264,can tho,45,VN,2020-03-21 17:53:18,88,10.03,105.78,78.8,3.36
265,leh,100,IN,2020-03-21 17:53:18,79,34.17,77.58,13.96,4.9
266,hirara,24,JP,2020-03-21 17:53:18,90,24.8,125.28,74.26,16.35
267,udachnyy,0,RU,2020-03-21 17:53:18,63,66.42,112.4,-7.6,6.71
268,kamiiso,62,JP,2020-03-21 17:53:18,95,41.82,140.65,31.42,3.89
269,olafsvik,100,IS,2020-03-21 17:53:18,58,64.89,-23.71,32.32,23.13
270,avera,40,US,2020-03-21 17:53:18,57,33.19,-82.53,81.0,8.05
271,axim,57,GH,2020-03-21 17:53:12,70,4.87,-2.24,83.98,7.14
272,manyoni,50,TZ,2020-03-21 17:53:18,86,-5.75,34.84,69.58,3.24
273,torbay,40,CA,2020-03-21 17:52:02,69,47.67,-52.73,39.99,43.62
274,byron bay,89,AU,2020-03-21 17:53:18,93,-28.65,153.62,72.0,6.93
275,yilan,20,TW,2020-03-21 17:53:19,94,24.76,121.75,73.4,4.7
276,egvekinot,0,RU,2020-03-21 17:53:19,90,66.32,-179.17,-16.46,0.6
277,bushehr,40,IR,2020-03-21 17:53:19,68,28.97,50.84,71.6,9.17
278,sarbeni,91,RO,2020-03-21 17:53:19,39,44.47,25.38,64.99,5.1
